date,day,,,pm25,pm10,o3,no2,so2,co
29-11-2018,29,Nov,2018,104.6771281,74,64,24,6,13
30-11-2018,30,Nov,2018,143,74,56,23,3,13
01-12-2018,01,Dec,2018,154,66,67,22,4,12
02-12-2018,02,Dec,2018,150,65,60,22,2,10
03-12-2018,03,Dec,2018,148,68,58,22,3,11
04-12-2018,04,Dec,2018,145,67,30,17,1,9
05-12-2018,05,Dec,2018,149,55,9,25,1,11
06-12-2018,06,Dec,2018,91,55,50,14,1,6
07-12-2018,07,Dec,2018,90,49,54,13,1.762455172,5
08-12-2018,08,Dec,2018,63,46,51,13,1,5
09-12-2018,09,Dec,2018,55,60,53,11,1,4
10-12-2018,10,Dec,2018,96,50,61,12,1,5
11-12-2018,11,Dec,2018,150,66.54990258,48.60677777,16.91327479,2.607567781,8.588595642
14-12-2018,14,Dec,2018,84.59821685,58,56,18,7,6
15-12-2018,15,Dec,2018,73,52,62,14,5,5
16-12-2018,16,Dec,2018,64,55,63,19,7,6
17-12-2018,17,Dec,2018,70,58,51,21,6,8
18-12-2018,18,Dec,2018,56,55,45,21,7,9
19-12-2018,19,Dec,2018,47,56,48,22,4,10
20-12-2018,20,Dec,2018,51,66,59,24,5,12
21-12-2018,21,Dec,2018,63,64,59,27,6,11
22-12-2018,22,Dec,2018,50,63,64,29,6,11
23-12-2018,23,Dec,2018,57,63,72,20,3,8
24-12-2018,24,Dec,2018,57,56,58,18,1,6
25-12-2018,25,Dec,2018,45,52,49,14,1,5
26-12-2018,26,Dec,2018,72,59,25,18,1,6
27-12-2018,27,Dec,2018,141,65,57,30,8,12
28-12-2018,28,Dec,2018,131,71,60,32,7,13
29-12-2018,29,Dec,2018,133,65,68,29,6,12
30-12-2018,30,Dec,2018,124,65.37401058,51.6023576,10.05745314,2.993088993,6.289322134
31-12-2018,31,Dec,2018,129.6856384,79,62,31,5,15
01-01-2019,01,Jan,2019,147,80,67,29,3,13
02-01-2019,02,Jan,2019,135,74,62,29,4,12
03-01-2019,03,Jan,2019,137,70,71,29,4,12
04-01-2019,04,Jan,2019,123,65,71,23,4,10
05-01-2019,05,Jan,2019,120,51,51,17,2,7
06-01-2019,06,Jan,2019,97,70,51,27,11,11
07-01-2019,07,Jan,2019,119,84,68,30,8,12
08-01-2019,08,Jan,2019,146,72,66,27,5,12
09-01-2019,09,Jan,2019,132,89,58,39,4,18
10-01-2019,10,Jan,2019,149,85,70,28,4,12
11-01-2019,11,Jan,2019,150,63,65,19,2,8
12-01-2019,12,Jan,2019,119,60,74,19,3,8
13-01-2019,13,Jan,2019,123,65,61,27,4,10
14-01-2019,14,Jan,2019,131,72,54,26,7,12
15-01-2019,15,Jan,2019,133,80,59,32,3,14
16-01-2019,16,Jan,2019,144,68,56,22,2,8
17-01-2019,17,Jan,2019,132,65,62,17,3,6
18-01-2019,18,Jan,2019,122,75,53,32,7,14
19-01-2019,19,Jan,2019,124,63,65,24,3,11
20-01-2019,20,Jan,2019,122,81,59,18,2,7
21-01-2019,21,Jan,2019,122,67,31,13,1,4
22-01-2019,22,Jan,2019,84,59,36,12,1,4
23-01-2019,23,Jan,2019,80,59,17,11,4,4
24-01-2019,24,Jan,2019,86,55,47,9,2,3
25-01-2019,25,Jan,2019,87,52,42,12,1,5
26-01-2019,26,Jan,2019,97,47,43,12,1,4
27-01-2019,27,Jan,2019,88,43,45,14,2,4
28-01-2019,28,Jan,2019,81,52,49,20,5,9
29-01-2019,29,Jan,2019,89,64,63,24,5,10
30-01-2019,30,Jan,2019,117,63,60,21,6,10
31-01-2019,31,Jan,2019,117,62,41,18,3,8
01-02-2019,01,Feb,2019,102,62,53,17,6,7
02-02-2019,02,Feb,2019,122,59,41,17,2,8
03-02-2019,03,Feb,2019,124,65,40,22,2,10
04-02-2019,04,Feb,2019,131,77,42,20,5,7
05-02-2019,05,Feb,2019,132,105,49,13,1,5
06-02-2019,06,Feb,2019,128,89,35,7,1,2
07-02-2019,07,Feb,2019,87,91,40,7,1,2
08-02-2019,08,Feb,2019,104,79,38,14,2,5
09-02-2019,09,Feb,2019,118,78,52,19,4,8
10-02-2019,10,Feb,2019,125,90,39,20,2,11
11-02-2019,11,Feb,2019,35,74,42,23,3,10
12-02-2019,12,Feb,2019,145,53,47,14,2,6
13-02-2019,13,Feb,2019,109,56,35,11,1,5
14-02-2019,14,Feb,2019,120,78,49,10,2,5
15-02-2019,15,Feb,2019,123,52,49,11,1,6
16-02-2019,16,Feb,2019,126,51,59,10,3,6
17-02-2019,17,Feb,2019,124,54,49,12,1,6
18-02-2019,18,Feb,2019,107,46,49,12,1,6
19-02-2019,19,Feb,2019,99,58,51,15,4,8
20-02-2019,20,Feb,2019,100,66,51,11,1,7
21-02-2019,21,Feb,2019,120,61,42,6,2,5
22-02-2019,22,Feb,2019,104,48,38,7,5,5
23-02-2019,23,Feb,2019,91,56,45,8,1,6
24-02-2019,24,Feb,2019,89,66,31,5,2,5
25-02-2019,25,Feb,2019,96,105,31,3,1,4
26-02-2019,26,Feb,2019,97,62,26,2,1,4
27-02-2019,27,Feb,2019,88,52,46,9,2,8
28-02-2019,28,Feb,2019,82,64,49,13,4,12
01-03-2019,01,Mar,2019,108,72,58,14,4,11
02-03-2019,02,Mar,2019,113,35,42,2,2,4
03-03-2019,03,Mar,2019,63,58,21,2,1,3
04-03-2019,04,Mar,2019,108,66,40,2,1,3
05-03-2019,05,Mar,2019,110,60,43,3,1,4
06-03-2019,06,Mar,2019,105,66,53,5,1,5
07-03-2019,07,Mar,2019,127,68,58,9,3,6
08-03-2019,08,Mar,2019,139,69,36,7,2,5
09-03-2019,09,Mar,2019,124,62,41,7,2,5
10-03-2019,10,Mar,2019,114,75,33,5,1,4
11-03-2019,11,Mar,2019,125,69,42,8,5,5
12-03-2019,12,Mar,2019,124,66,51,4,2,4
13-03-2019,13,Mar,2019,113,53,37,5,2,3
14-03-2019,14,Mar,2019,106,56,52,10,6,7
15-03-2019,15,Mar,2019,123,63,54,11,4,7
16-03-2019,16,Mar,2019,116,59,56,8,2,6
17-03-2019,17,Mar,2019,124,69,48,7,2,5
18-03-2019,18,Mar,2019,130,62,72,6,2,5
19-03-2019,19,Mar,2019,117,77,46,6,3,5
20-03-2019,20,Mar,2019,135,47,34,4,1,5
21-03-2019,21,Mar,2019,92,52,36,6,1,4
22-03-2019,22,Mar,2019,114,60,53,8,3,6
23-03-2019,23,Mar,2019,122,57,56,9,2,7
24-03-2019,24,Mar,2019,116,54,43,5,2,4
25-03-2019,25,Mar,2019,129,67,35,8,1,6
26-03-2019,26,Mar,2019,135,64,56,6,3,4
27-03-2019,27,Mar,2019,132,72,73,8,5,5
28-03-2019,28,Mar,2019,147,72,78,7,6,5
29-03-2019,29,Mar,2019,156,82,48,6,3,4
30-03-2019,30,Mar,2019,157,64,33,9,1,4
31-03-2019,31,Mar,2019,140,66,44,5,1,4
01-04-2019,01,Apr,2019,123,66,48,7,1,4
02-04-2019,02,Apr,2019,93,66,55,6,2,4
03-04-2019,03,Apr,2019,110,68,50,6,2,5
04-04-2019,04,Apr,2019,109,68,43,5,1,4
05-04-2019,05,Apr,2019,122,51,35,4,1,3
06-04-2019,06,Apr,2019,88,51,33,4,1,3
07-04-2019,07,Apr,2019,78,60,39,5,1,3
08-04-2019,08,Apr,2019,92,65,36,5.674743931,1,4
09-04-2019,09,Apr,2019,97,52,40,9.655353343,1,4
10-04-2019,10,Apr,2019,107,47,41,8.777625683,1,4
11-04-2019,11,Apr,2019,196,58,43,17,2,5
12-04-2019,12,Apr,2019,109,64,50,15,3,5
13-04-2019,13,Apr,2019,108,70,46,14,3,5
14-04-2019,14,Apr,2019,113,54,52,13,3,6
15-04-2019,15,Apr,2019,110,66,52,12,2,6
16-04-2019,16,Apr,2019,116,66,51,7,2,3
17-04-2019,17,Apr,2019,83,43,49,6,2,3
18-04-2019,18,Apr,2019,61,60,56,16,3,4
19-04-2019,19,Apr,2019,98,56,50,15,2,4
20-04-2019,20,Apr,2019,95,48,43,11,2,4
21-04-2019,21,Apr,2019,86,49,38,11,2,4
22-04-2019,22,Apr,2019,103,52,47,11,3,3
23-04-2019,23,Apr,2019,99,54,44,11,4,3
24-04-2019,24,Apr,2019,96,59,52,11,3,3
25-04-2019,25,Apr,2019,103,55,47,9,4,3
26-04-2019,26,Apr,2019,105,66,38,7,4,3
27-04-2019,27,Apr,2019,96,70,14,9.814225364,4,3
28-04-2019,28,Apr,2019,108,72,14,7.687925795,4,4
29-04-2019,29,Apr,2019,132,66,14,8.68501115,2,4
30-04-2019,30,Apr,2019,99,89,14,10.05341278,2,3
01-05-2019,01,May,2019,108,77,15,9.376025085,1,3
02-05-2019,02,May,2019,104,68,12,10.94172085,1,3
03-05-2019,03,May,2019,95,68,12,11.02409226,1,4
04-05-2019,04,May,2019,97,64,13,11.19688849,1,3
05-05-2019,05,May,2019,99,54,13,10.58961162,1,3
06-05-2019,06,May,2019,85,58,13,10.72579581,2,4
07-05-2019,07,May,2019,86,53,13,10.72799787,1,3
