date, pm25, pm10, o3, no2, so2, co
2018/10/1, 81, 43, 40, 6, 1, 3
2018/10/2, 83, 50, 37, 7, 1, 4
2018/10/3, 100, 47, 41, 7, 1, 4
2018/10/4, 91, 51, 32, 10, 1, 5
2018/10/5, 96, 56, 29, 8, 1, 3
2018/10/6, 93, 66, 17, 19, 1, 8
2018/10/7, 108, 65, 42, 17, 11, 10
2018/10/8, 114, 52, 47, 7, 2, 3
2018/10/9, 123, 46, 51, 6, 2, 3
2018/10/10, 111, 72, 57, 5, 1, 3
2018/10/11, 124, 66, 45, 11, 3, 6
2018/10/12, 113, 72, 43, 11, 2, 5
2018/10/13, 114, 61, 48, 8, 2, 4
2018/10/14, 91, 67, 49, 12, 2, 5
2018/10/15, 103, 62, 52, 10, 1, 5
2018/10/16, 94, 58, 26, 8, 1, 4
2018/10/17, 104, 55, 20, 8, 4, 6
2018/10/18, 111, 64, 45, 8, 1, 3
2018/10/19, 97, 65, 46, 10, 1, 5
2018/10/20, 130, 63, 48, 8, 1, 3
2018/10/21, 150, 61, 45, 8, 1, 4
2018/10/22, 128, 58, 49, 7, 1, 4
2018/10/23, 93, 60, 63, 15, 10, 6
2018/10/24, 97, 63, 41, 10, 2, 4
2018/10/25, 141, 76, 58, 13, 2, 6
2018/10/26, 146, 74, 51, 14, 4, 7
2018/10/27, 136, 51, 48, 8, 2, 3
2018/10/28, 94, 57, 56, 14, 4, 6
2018/10/29, 110, 65, 65, 16, 5, 5
2018/10/30, 145, 66, 60, 16, 4, 4
2018/10/31, 131, 59, 46, 17, 4, 5
2018/11/1, 112, 56, 47, 15, 5, 7
2018/11/2, 107, 62, 47, 15, 5, 9
2018/11/3, 119, 44, 51, 10, 2, 2
2018/11/4, 97, 45, 51, 16, 3, 14
2018/11/5, 113, 49, 46, 12, 3, 10
2018/11/6, 117, 63, 66, 12, 2, 5
2018/11/7, 122, 74, 69, 16, 5, 7
2018/11/8, 149, 67, 12, 9, 1, 5
2018/11/9, 141, 58, 68, 15, 7, 3
2018/11/10, 126, 64, 66, 14, 3, 6
2018/11/11, 130, 63, 69, 16, 4, 8
2018/11/12, 124, 60, 72, 15, 2, 6
2018/11/13, 125, 57, 92, 12, 2, 5
2018/11/14, 125, 62, 49, 19, 6, 10
2018/11/15, 127, 74, 63, 19, 4, 10
2018/11/16, 131, 72, 77, 18, 3, 8
2018/11/17, 138, 66, 68, 14, 3, 5
2018/11/18, 132, 61, 48, 14, 1, 6
2018/11/19, 121, 67, 48, 15, 1, 7
2018/11/20, 137, 55, 60, 16, 1, 9
2018/11/21, 105, 69, 56, 19, 2, 8
2018/11/22, 142, 76, 64, 19, 3, 10
2018/11/23, 152, 75, 60, 22, 3, 10
2018/11/24, 142, 75, 74, 18, 2, 9
2018/11/25, 133, 75, 69, 19, 4, 7
2018/11/26, 139, 72, 67, 20, 2, 10
2018/11/27, 140, 57, 66, 15, 4, 7
2018/11/28, 134, , , , , 
2018/7/1, 47, 34, 21, 4, 1, 5
2018/7/2, 52, 27, 22, 4, , 3
2018/7/3, 33, 26, 15, 4, 1, 4
2018/7/4, 41, 30, 17, 3, 1, 3
2018/7/5, 46, 33, 19, 4, , 3
2018/7/6, 48, 24, 23, 2, 1, 3
2018/7/7, 52, 23, 26, 2, 1, 2
2018/7/8, 43, 20, 21, 3, , 3
2018/7/9, 30, 16, 21, 3, , 3
2018/7/10, 23, 20, 19, 3, , 3
2018/7/11, 40, 26, 17, 3, , 3
2018/7/12, 54, 25, 17, 3, , 3
2018/7/13, 11, 24, 15, 3, 1, 3
2018/7/14, 39, 17, 16, 5, 2, 4
2018/7/15, 44, 17, 22, 5, 1, 3
2018/7/16, 42, 23, 15, 5, 1, 4
2018/7/17, 69, 42, 18, 5, 1, 3
2018/7/18, 69, 35, 18, 3, 1, 3
2018/7/19, 71, 28, 17, 4, 1, 3
2018/7/20, 61, 31, 18, 4, 1, 3
2018/7/21, 61, 48, 17, 3, 1, 2
2018/7/22, 81, 47, 15, 4, 1, 3
2018/7/23, 94, 46, 13, 5, 1, 3
2018/7/24, 94, 55, 15, 3, 1, 2
2018/7/25, 92, 54, 16, 4, 1, 2
2018/7/26, 88, 43, 17, 3, 1, 2
2018/7/27, 71, 56, 45, 4, 1, 2
2018/7/28, 82, 50, 18, 2, 1, 2
2018/7/29, 81, 54, 17, 3, 1, 2
2018/7/30, 84, 64, 15, 3, 1, 2
